competitor_id,name,country,country_code
sr:competitor:44977,"Santamaria, Sabrina",USA,USA
sr:competitor:52533,"Jakupovic, Dalila",Slovenia,SVN
sr:competitor:360038,"Stearns, Peyton",USA,USA
sr:competitor:49682,"Kichenok, Nadiia",Ukraine,UKR
sr:competitor:329535,"Tauson, Clara",Denmark,DNK
sr:competitor:123824,"Dolehide, Caroline",USA,USA
sr:competitor:534045,"Gibson, Talia",Australia,AUS
sr:competitor:93657,"Karamoko, Naima",Switzerland,CHE
sr:competitor:156040,"Cho, I-Hsuan",Chinese Taipei,TPE
sr:competitor:210670,"Cho, Yi Tsen",Chinese Taipei,TPE
sr:competitor:48451,"Cavalle-Reimers, Yvonne",Spain,ESP
sr:competitor:72758,"Cristian, Jaqueline",Romania,ROU
sr:competitor:71754,"Martins, Ingrid",Brazil,BRA
sr:competitor:51943,"Strakhova, Valeriya",Ukraine,UKR
sr:competitor:448121,"Rogers, Anna",USA,USA
sr:competitor:48486,"Gorgodze, Ekaterine",Georgia,GEO
sr:competitor:67430,"Cascino, Estelle",France,FRA
sr:competitor:143146,"Smith, Alana",USA,USA
sr:competitor:189384,"Kulambayeva, Zhibek",Kazakhstan,KAZ
sr:competitor:18251,"Williams, Venus",USA,USA
sr:competitor:183957,"Kobori, Momoko",Japan,JPN
sr:competitor:245673,"Feng, Shuo",China,CHN
sr:competitor:129534,"Hruncakova, Viktoria",Slovakia,SVK
sr:competitor:50915,"Plipuech, Peangtarn",Thailand,THA
sr:competitor:628178,"Brooks, Madeleine",Great Britain,GBR
sr:competitor:215806,"Hewitt, Dalayna",USA,USA
sr:competitor:226306,"Corley, Ivana",USA,USA
sr:competitor:813176,"Mboko, Victoria",Canada,CAN
sr:competitor:250285,"Falkowska, Weronika",Poland,POL
sr:competitor:662257,"Havlickova, Lucie",Czechia,CZE
sr:competitor:369524,"Erjavec, Veronika",Slovenia,SVN
sr:competitor:722877,"Ciric-Bagaric, Lucija",Croatia,HRV
sr:competitor:345134,"Lee, Ya-Hsin",Chinese Taipei,TPE
sr:competitor:49118,"Harrison, Catherine",USA,USA
